entityid,neighbourhood,year_2012,year_2013,year_2014,year_2015
eaf69cbf-f9eb-4ea4-b36f-23a52509a268,West Industrial,47,44,47,41
eb0eed34-dc04-49e3-829b-b6ce08667b72,Elk Point,,,,68
6950b192-fd5e-4d71-81a3-ae2a4b10c078,Airport Business Area,211,202,185,170
20fff593-f95e-45f5-8c72-ed449d0ca2a9,Kensington,,,,202
eb22a576-220f-4a30-86d3-1aa4a068f98d,The Willows,568,613,619,642
0e54a99d-4f51-4ef3-8cd9-7ff9c9b6fd67,U of S Lands South MA,991,834,838,867
5849be00-0e28-4219-a77d-e0d059b3865c,Blairmore Suburban Centre,465,652,795,918
ff163e1a-db67-443c-beb8-2dd09d444277,Kelsey-Woodlawn,912,946,899,961
d7893966-dddd-4217-94a0-cb2c2851ddfd,Richmond Heights,994,1011,978,1004
0d6ae0c3-5768-4abf-b4f8-ac2d73439e62,Confederation S.C.,926,1017,1039,1046
fe4c18e3-0d25-49ad-b238-af6d98ea5f12,Lawson Heights S.C.,1407,1396,1358,1421
3352ce92-ceaa-42f7-abae-e9a750b31845,University Heights SC,1302,1417,1660,1541
7ed3d7d3-8ca4-4d57-8918-9d83e6d85a77,Grosvenor Park,1569,1623,1626,1596
9f869453-41cf-409c-b0c7-0eb19ea66488,Holiday Park,1766,1780,1782,1745
885ada6a-c2af-4a8f-ac4b-c6a9a87fe82a,Lakewood S.C.,1723,1866,1900,1901
afff054e-8046-4346-b149-9f995bc9bf63,North Park,1983,2055,2064,2028
2e632904-ae2e-4f3a-b829-7470d29799ae,King George,2047,2084,2116,2147
d9c8f2ab-0948-4a13-ba17-ca648edc7e47,Hudson Bay Park,2144,2145,2096,2150
cc011112-68a1-4336-b658-2b044d252240,Rosewood,261,590,1155,2207
2c0d119d-0d48-420f-a70a-168f2247e7d0,Exhibition,2465,2545,2503,2571
52ec14bd-235e-42c9-bb9c-e237882179ce,Greystone Heights,2585,2678,2691,2650
c0ce1b7d-7644-4045-a8e0-aa4fa396d9eb,Riversdale,2604,2709,2826,2669
b49afce6-cf85-4826-bda0-e3635b669bb5,Queen Elizabeth,2538,2581,2644,2703
5f15034c-00fa-4dfe-8ea0-2c31d88dfb92,Haultain,2770,2839,2823,2797
335593c9-cf52-4793-93f4-35b6dec9e035,Westmount,2594,2683,2739,2805
5afd42ff-ccdf-4d60-b386-cb029c954003,Mayfair,2812,2883,2892,2857
f95650bc-f15f-4428-91d6-127dff55b3e0,Montgomery Place,2717,2756,2868,2936
a96f94a9-c63c-4144-abc4-911378093433,Nutana Park,2892,2948,2925,2940
9f6ef093-4047-4302-b1d3-4567609d3559,Nutana S.C.,2886,2937,2979,3065
011e5ed4-e478-4bf7-a0d8-166cb15e0365,Buena Vista,3085,3180,3173,3211
3eb953f9-f254-49b1-8cd0-49ab3a5c3ea4,Central Business District*,2688,3389,3392,3261
16491cdd-ebda-4d49-a60f-fbb8bd7ae10a,Evergreen,241,817,1655,3283
dd3bbe88-956c-409d-85ab-de3cb0d83141,Varsity View,3275,3342,3297,3291
a18a1a53-c81b-412f-b611-93c8ce520164,Avalon,3367,3413,3433,3379
c6e1f64b-7f16-4538-b39b-686ef4c7e545,Holliston,3530,3676,3720,3571
c4703d2e-e92c-4d6a-925b-5e40c131bf57,Caswell Hill,3742,3847,3848,3667
f0ea1c1b-762a-434d-8381-1f9647192d71,Massey Place,3743,3819,3948,3680
37cb893b-bfdd-450d-ab52-f05c1e27872f,Adelaide/Churchill,3518,3551,3560,3683
4fb2071c-8134-4daa-b8ef-8872627e7bd2,Brevoort Park,3597,3667,3743,3761
d8fb3e26-cb1b-457d-b1d2-6c8f634ccd79,Eastview,3865,3921,3877,3909
9572fddc-bddf-4378-aa8a-3d451b04efd3,Lakeridge,4119,4132,4062,4078
49771343-0237-489f-b6bc-812ffec9929e,Westview,3965,4033,4095,4128
fc950f24-3ccb-441b-86d7-b9a2c1368fc7,City Park,4354,4228,4319,4277
030e4a0e-e817-42b2-ab89-42e4442aa17f,Erindale,4543,4520,4448,4446
a1c5d701-55bc-480d-9a59-f12463586917,Pacific Heights,4231,4317,4390,4481
5378a06d-643e-4ead-b90e-dd2b705a3ec5,River Heights,4726,4679,4691,4602
03ec7dd3-7ec3-4d36-aa65-e0f11d49ce14,Meadowgreen,4629,4899,4902,4656
bc486645-c645-4883-8cff-1329bf8b2e44,College Park East,4648,4696,4731,4679
921a3396-af7c-4212-a2d3-f24ba36e2e97,Mount Royal,4852,4921,4961,4946
2714b21c-cb5c-4811-ae10-41a0a6cd1d55,Fairhaven,5180,5258,5116,4970
dbb5bf24-db3d-4a50-b677-d596ccc85e7a,Lawson Heights,5096,5234,5310,5146
873bd4bc-1260-4a5d-bda8-86873704cba1,Arbor Creek,5094,5262,5312,5147
1cb8b190-0502-4884-bb55-7724a61175e0,Silverspring,5227,5276,5186,5244
90109756-97c6-4696-a6c0-7653c1ba040c,Parkridge,5330,5447,5355,5343
699445f9-5867-4726-b72b-5c1234cec621,Briarwood,5184,5272,5281,5356
dca18e8e-0bb1-420e-a082-5a8fd2b9c71b,Sutherland,5324,5491,5546,5362
27b929d4-dacb-4137-8b47-776c133be5a4,Pleasant Hill,5143,5498,5670,5471
232a4c2a-6786-439b-8b98-e4eb0a322126,Forest Grove,5330,5434,5445,5575
711a1923-a35a-4508-a363-0700de398d45,College Park,5444,5630,5813,5642
2bc9cf79-f915-4631-b37d-ec3df2c656f2,Dundonald,5886,5960,6053,5871
06ca31e5-b85e-44f1-afa3-62a101fca4a7,Nutana,5689,5978,6056,5972
41106bae-709f-4f9f-9cf8-192cf72ab2c9,Willowgrove,5500,6125,6504,7212
6d9926cd-63db-441d-99a5-e16b8df36ef9,Hampton Village,3577,4634,5813,7236
f8d85e59-3534-4a41-a490-072078cdd6fd,Confederation Park,7492,7588,7529,7447
bd566d5a-1e4e-45c1-b109-b7d393a69f60,Wildwood,7127,7387,7589,7455
5ca7f72a-abba-4e44-8054-57b641645b58,Lakeview,7270,7446,7502,7519
c4fbc68f-4514-409e-bb5d-f04b900d40c6,Stonebridge,4828,6042,7046,8907
eae84066-f1da-43e9-b750-0d6cb6881583,Silverwood Heights,10757,10932,10909,10937
,,,,,
,,,,,
